iter	RMSE
613	43.02479862
614	43.02266198
615	43.02049078
616	43.01864915
617	43.01731773
618	43.0158802
619	43.01422944
620	43.01229448
621	43.01039148
622	43.00928798
623	43.00727647
624	43.00518553
625	43.00280474
626	43.00091227
627	42.99860274
628	42.99704102
629	42.99570726
630	42.99367155
631	42.99189506
632	42.98987423
633	42.98857641
634	42.98672765
635	42.98494366
636	42.98473217
637	42.98353839
638	42.98218593
639	42.98086387
640	42.97894155
641	42.97755982
642	42.97528262
643	42.97438565
644	42.97209715
645	42.96995092
646	42.96867322
647	42.967376
648	42.96526128
649	42.96356761
650	42.96225485
651	42.96094047
652	42.95909725
653	42.95599905
654	42.9545072
655	42.95235658
656	42.9506382
657	42.94863964
658	42.94727137
659	42.94555938
660	42.94363405
661	42.94193984
662	42.94069347
663	42.93925577
664	42.93738058
665	42.93600629
666	42.93415831
667	42.93233385
668	42.9303149
669	42.92813176
670	42.92796076
671	42.92622426
672	42.92464561
673	42.92322468
674	42.92093193
675	42.91907223
676	42.9178361
677	42.91610955
678	42.91456469
679	42.91218184
680	42.91036796
681	42.90928143
682	42.90722788
683	42.90552511
684	42.90429717
685	42.90302589
686	42.90143536
687	42.89948322
688	42.89795399
689	42.89534395
690	42.89424604
691	42.89203116
692	42.88978458
693	42.88826413
694	42.88640994
695	42.8848855
696	42.88360529
697	42.88195211
698	42.88040465
699	42.87823747
700	42.87612718
701	42.87422682
702	42.87249557
703	42.87147467
704	42.8703167
705	42.8688957
706	42.86731593
707	42.86532446
708	42.86373145
709	42.86261891
710	42.86137787
711	42.86109995
712	42.85905513
713	42.85718352
714	42.85518191
715	42.85334679
716	42.85113476
717	42.84988823
718	42.84815809
719	42.84656207
720	42.84451413
721	42.84300652
722	42.84156146
723	42.83981136
724	42.83826672
725	42.83813219
726	42.83763209
727	42.83610838
728	42.8346882
729	42.83347642
730	42.83132756
731	42.82914775
732	42.82772591
733	42.82770807
734	42.82650657
735	42.82488301
736	42.82369569
737	42.82134195
738	42.8196577
739	42.817275
740	42.81638745
741	42.81463279
742	42.81333144
743	42.81259346
744	42.81120295
745	42.80922784
746	42.80733065
747	42.8051526
748	42.80380469
749	42.80169218
750	42.80021887
751	42.79972116
752	42.79783942
753	42.7960075
754	42.79461798
755	42.79340747
756	42.79209286
757	42.79086951
758	42.78975696
759	42.78866848
760	42.78777354
761	42.78622927
762	42.78540322
763	42.78359988
764	42.78252948
765	42.7807677
766	42.77908689
767	42.77778265
768	42.77589976
769	42.7739309
770	42.77254063
771	42.77065432
772	42.76906618
773	42.76801241
774	42.76651736
775	42.76465626
776	42.76278762
777	42.7616837
778	42.76018689
779	42.75801853
780	42.75645318
781	42.7552573
782	42.75410297
783	42.75307176
784	42.75041732
785	42.74853101
786	42.74737925
787	42.74558119
788	42.74391908
789	42.74243818
790	42.7413432
791	42.73984166
792	42.73819956
793	42.73597197
794	42.73431241
795	42.73217843
796	42.73100301
797	42.72903228
798	42.72815736
799	42.72635373
800	42.72522947
801	42.72278941
802	42.72125217
803	42.71998243
804	42.71819189
805	42.71678164
806	42.71523268
807	42.71403861
808	42.71180665
809	42.71002358
810	42.70898152
811	42.70703659
812	42.70515892
813	42.70379773
814	42.70075342
815	42.69858021
816	42.6957277
817	42.69462565
818	42.69309329
819	42.69199853
820	42.69018474
821	42.69008288
822	42.68713202
823	42.68618307
824	42.68477748
825	42.68325298
826	42.68170026
827	42.68067326
828	42.67971418
829	42.67810101
830	42.67697529
831	42.67612243
832	42.67570825
833	42.6740398
834	42.67222794
835	42.67119874
836	42.66903159
837	42.66761005
838	42.66619477
839	42.66484813
840	42.66289816
841	42.66217043
842	42.66045073
843	42.65905627
844	42.6573236
845	42.65565401
846	42.65386298
847	42.65179166
848	42.65043104
849	42.64925512
850	42.64742815
851	42.64581474
852	42.64381827
853	42.6425013
854	42.64061683
855	42.63909696
856	42.63782828
857	42.63656968
858	42.63518822
859	42.63352979
860	42.6315436
861	42.63049614
862	42.62888684
863	42.62772625
864	42.62523307
865	42.62437519
866	42.62249704
867	42.62124069
868	42.6199657
869	42.61788506
870	42.61660455
871	42.61522132
872	42.6142543
873	42.61289833
874	42.61171943
875	42.61060434
876	42.6090399
877	42.6075329
878	42.60626553
879	42.60489857
880	42.60344122
881	42.60210991
882	42.6002961
883	42.59928762
884	42.59713498
885	42.59555888
886	42.59555021
887	42.59406113
888	42.59296367
889	42.59086337
890	42.59084976
891	42.58923317
892	42.58801279
893	42.5861167
894	42.58459919
895	42.58351874
896	42.58172764
897	42.57978094
898	42.57814623
899	42.57655333
900	42.5750184
901	42.57308409
902	42.57156309
903	42.56978017
904	42.56754659
905	42.56577271
906	42.56381237
907	42.56234723
908	42.56081476
909	42.55964628
910	42.55807166
911	42.55678372
912	42.55533658
913	42.55333882
914	42.55228365
915	42.55148845
916	42.55032135
917	42.54922711
918	42.54752354
919	42.54656284
920	42.54523404
921	42.54360676
922	42.54200102
923	42.54045112
924	42.53931509
925	42.5379131
926	42.5357656
927	42.53435569
928	42.53264065
929	42.53148092
930	42.52979158
931	42.52725688
932	42.52620756
933	42.52470647
934	42.52328717
935	42.52132241
936	42.52031475
937	42.51846119
938	42.5163116
939	42.51500318
940	42.51351399
941	42.51205567
942	42.51053426
943	42.50922945
944	42.50757387
945	42.50642177
946	42.5054074
947	42.50390949
948	42.503045
949	42.50167257
950	42.50058572
951	42.50057802
952	42.4994723
953	42.49814417
954	42.49669747
955	42.49500299
956	42.4934242
957	42.49205859
958	42.49056222
959	42.48966702
960	42.48807157
961	42.48671776
962	42.48486953
963	42.48274342
964	42.48121115
965	42.47992431
966	42.47835725
967	42.4770708
968	42.47608449
969	42.47523903
970	42.47367218
971	42.47152312
972	42.47123882
973	42.46963113
974	42.46845584
975	42.46689059
976	42.46612196
977	42.46403633
978	42.46222816
979	42.46132138
980	42.46004661
981	42.45837824
982	42.45708245
983	42.45592944
984	42.45423497
985	42.453048
986	42.45167369
987	42.45012241
988	42.44879078
989	42.44669149
990	42.44553769
991	42.44441892
992	42.44275782
993	42.442467
994	42.44131741
995	42.43965813
996	42.43797222
997	42.43643616
998	42.43518784
999	42.43424051
